mode,n_measurements,duration_label,mu_baseline,sigma_baseline,rho,h_init,mde
ap_only,2,1.5yr,0.3,0.1,0.5,-0.05,0.18777292576419216
ap_only,2,1.5yr,0.3,0.1,0.5,0.0,0.19699248120300755
ap_only,2,1.5yr,0.3,0.1,0.5,0.05,0.2103658536585366
ap_only,2,1.5yr,0.3,0.1,0.7,-0.05,0.22165605095541402
ap_only,2,1.5yr,0.3,0.1,0.7,0.0,0.24118942731277535
ap_only,2,1.5yr,0.3,0.1,0.7,0.05,0.24780487804878049
ap_only,2,1.5yr,0.3,0.1,0.9,-0.05,0.2837662337662338
ap_only,2,1.5yr,0.3,0.1,0.9,0.0,0.28700787401574807
ap_only,2,1.5yr,0.3,0.1,0.9,0.05,0.30333333333333334
ap_only,2,1.5yr,0.3,0.2,0.5,-0.05,0.18372781065088759
ap_only,2,1.5yr,0.3,0.2,0.5,0.0,0.1944196428571429
ap_only,2,1.5yr,0.3,0.2,0.5,0.05,0.2104166666666667
ap_only,2,1.5yr,0.3,0.2,0.7,-0.05,0.217741935483871
ap_only,2,1.5yr,0.3,0.2,0.7,0.0,0.23216216216216218
ap_only,2,1.5yr,0.3,0.2,0.7,0.05,0.2388888888888889
ap_only,2,1.5yr,0.3,0.2,0.9,-0.05,0.295906432748538
ap_only,2,1.5yr,0.3,0.2,0.9,0.0,0.27184873949579835
ap_only,2,1.5yr,0.3,0.2,0.9,0.05,0.34925373134328364
ap_only,2,1.5yr,0.5,0.1,0.5,-0.05,0.2205263157894737
ap_only,2,1.5yr,0.5,0.1,0.5,0.0,0.2177215189873418
ap_only,2,1.5yr,0.5,0.1,0.5,0.05,0.2153846153846154
ap_only,2,1.5yr,0.5,0.1,0.7,-0.05,0.256198347107438
ap_only,2,1.5yr,0.5,0.1,0.7,0.0,0.2595588235294118
ap_only,2,1.5yr,0.5,0.1,0.7,0.05,0.24955156950672647
ap_only,2,1.5yr,0.5,0.1,0.9,-0.05,0.2996575342465753
ap_only,2,1.5yr,0.5,0.1,0.9,0.0,0.296978021978022
ap_only,2,1.5yr,0.5,0.1,0.9,0.05,
ap_only,2,1.5yr,0.5,0.2,0.5,-0.05,0.20698529411764707
ap_only,2,1.5yr,0.5,0.2,0.5,0.0,0.2095744680851064
ap_only,2,1.5yr,0.5,0.2,0.5,0.05,0.20695652173913046
ap_only,2,1.5yr,0.5,0.2,0.7,-0.05,0.24162679425837322
ap_only,2,1.5yr,0.5,0.2,0.7,0.0,0.2472972972972973
ap_only,2,1.5yr,0.5,0.2,0.7,0.05,0.2647058823529412
ap_only,2,1.5yr,0.5,0.2,0.9,-0.05,0.29375
ap_only,2,1.5yr,0.5,0.2,0.9,0.0,0.30933333333333335
ap_only,2,1.5yr,0.5,0.2,0.9,0.05,
ap_only,2,1.5yr,0.7,0.1,0.5,-0.05,0.21652892561983472
ap_only,2,1.5yr,0.7,0.1,0.5,0.0,0.21128048780487807
ap_only,2,1.5yr,0.7,0.1,0.5,0.05,0.20714285714285716
ap_only,2,1.5yr,0.7,0.1,0.7,-0.05,0.2550925925925926
ap_only,2,1.5yr,0.7,0.1,0.7,0.0,0.249375
ap_only,2,1.5yr,0.7,0.1,0.7,0.05,0.37931034482758624
ap_only,2,1.5yr,0.7,0.1,0.9,-0.05,0.29534883720930233
ap_only,2,1.5yr,0.7,0.1,0.9,0.0,0.4
ap_only,2,1.5yr,0.7,0.1,0.9,0.05,
ap_only,2,1.5yr,0.7,0.2,0.5,-0.05,0.2138655462184874
ap_only,2,1.5yr,0.7,0.2,0.5,0.0,0.22437500000000002
ap_only,2,1.5yr,0.7,0.2,0.5,0.05,0.22569444444444448
ap_only,2,1.5yr,0.7,0.2,0.7,-0.05,0.25523809523809526
ap_only,2,1.5yr,0.7,0.2,0.7,0.0,0.2788659793814433
ap_only,2,1.5yr,0.7,0.2,0.7,0.05,0.34606741573033717
ap_only,2,1.5yr,0.7,0.2,0.9,-0.05,0.29964539007092195
ap_only,2,1.5yr,0.7,0.2,0.9,0.0,
ap_only,2,1.5yr,0.7,0.2,0.9,0.05,
ap_only,2,1yr,0.3,0.1,0.5,-0.05,0.19022140221402217
ap_only,2,1yr,0.3,0.1,0.5,0.0,0.20849056603773586
ap_only,2,1yr,0.3,0.1,0.5,0.05,0.21286764705882355
ap_only,2,1yr,0.3,0.1,0.7,-0.05,0.2224264705882353
ap_only,2,1yr,0.3,0.1,0.7,0.0,0.2446107784431138
ap_only,2,1yr,0.3,0.1,0.7,0.05,0.24952153110047848
ap_only,2,1yr,0.3,0.1,0.9,-0.05,0.27661290322580645
ap_only,2,1yr,0.3,0.1,0.9,0.0,0.28626373626373625
ap_only,2,1yr,0.3,0.1,0.9,0.05,0.32098765432098764
ap_only,2,1yr,0.3,0.2,0.5,-0.05,0.1880753138075314
ap_only,2,1yr,0.3,0.2,0.5,0.0,0.19495614035087722
ap_only,2,1yr,0.3,0.2,0.5,0.05,0.2098159509202454
ap_only,2,1yr,0.3,0.2,0.7,-0.05,0.2193103448275862
ap_only,2,1yr,0.3,0.2,0.7,0.0,0.23601036269430054
ap_only,2,1yr,0.3,0.2,0.7,0.05,0.2521897810218978
ap_only,2,1yr,0.3,0.2,0.9,-0.05,0.2896825396825397
ap_only,2,1yr,0.3,0.2,0.9,0.0,0.28125
ap_only,2,1yr,0.3,0.2,0.9,0.05,0.35034482758620694
ap_only,2,1yr,0.5,0.1,0.5,-0.05,0.22401129943502826
ap_only,2,1yr,0.5,0.1,0.5,0.0,0.22282051282051285
ap_only,2,1yr,0.5,0.1,0.5,0.05,0.22191011235955058
ap_only,2,1yr,0.5,0.1,0.7,-0.05,0.2565789473684211
ap_only,2,1yr,0.5,0.1,0.7,0.0,0.2592741935483871
ap_only,2,1yr,0.5,0.1,0.7,0.05,0.2617241379310345
ap_only,2,1yr,0.5,0.1,0.9,-0.05,0.29705882352941176
ap_only,2,1yr,0.5,0.1,0.9,0.0,0.2916666666666667
ap_only,2,1yr,0.5,0.1,0.9,0.05,
ap_only,2,1yr,0.5,0.2,0.5,-0.05,0.21165644171779144
ap_only,2,1yr,0.5,0.2,0.5,0.0,0.21521739130434783
ap_only,2,1yr,0.5,0.2,0.5,0.05,0.21652173913043482
ap_only,2,1yr,0.5,0.2,0.7,-0.05,0.24530386740331495
ap_only,2,1yr,0.5,0.2,0.7,0.0,0.25546218487394956
ap_only,2,1yr,0.5,0.2,0.7,0.05,0.2723076923076923
ap_only,2,1yr,0.5,0.2,0.9,-0.05,0.2904255319148936
ap_only,2,1yr,0.5,0.2,0.9,0.0,0.2996621621621621
ap_only,2,1yr,0.5,0.2,0.9,0.05,
