mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
ap_only,2,26,6mo,0.3,0.1,0.12,0.5,0.05,0.274,0.1173855178465325,0.0799329451673066,0.0792485609510439
ap_only,2,26,6mo,0.3,0.1,0.15,0.5,0.0,0.527,0.1541813177508766,0.0764328802799862,0.0785122686345883
ap_only,2,26,6mo,0.3,0.1,0.08,0.9,0.05,0.12,0.0814196478847949,0.0957377667933646,0.0909513743030892
ap_only,2,26,6mo,0.3,0.1,0.1,0.9,0.0,0.206,0.1039693184266713,0.0916023600383146,0.0919651848238739
ap_only,2,26,6mo,0.3,0.1,0.05,0.7,0.0,0.071,0.050750639953184,0.0884908878088485,0.0863373300457252
ap_only,2,26,6mo,0.3,0.1,0.12,0.9,-0.05,0.303,0.111234941440912,0.0747945804562502,0.0743432090773793
ap_only,2,26,6mo,0.3,0.1,0.08,0.5,0.0,0.157,0.0817151956964604,0.0759293647994401,0.0746659092140187
ap_only,2,26,6mo,0.3,0.1,0.12,0.7,0.05,0.228,0.1172855484417543,0.0937857478190188,0.0927064853969365
ap_only,2,26,6mo,0.3,0.1,0.12,0.9,0.0,0.261,0.1179708459530665,0.0914985546840041,0.0957087705578886
ap_only,2,26,6mo,0.3,0.1,0.02,0.5,-0.05,0.055,0.0188783997489438,0.0703267295893819,0.071493389014385
ap_only,2,26,6mo,0.3,0.1,0.08,0.7,-0.05,0.165,0.0806382645883528,0.0805819436712515,0.080709351011726
ap_only,2,26,6mo,0.3,0.1,0.02,0.9,-0.05,0.046,0.0135239605247693,0.0688255800291103,0.0689728091918959
ap_only,2,26,6mo,0.3,0.1,0.02,0.9,0.05,0.061,0.0177238324420677,0.0963457579894503,0.0996421765014512
ap_only,2,26,6mo,0.3,0.1,0.05,0.9,-0.05,0.103,0.0422370275623069,0.069694064317194,0.0711598070732559
ap_only,2,26,6mo,0.3,0.1,0.02,0.7,0.0,0.058,0.0235037751676428,0.0876880173731081,0.0872607600602796
ap_only,2,26,6mo,0.3,0.1,0.1,0.7,-0.05,0.243,0.1046025678994208,0.081473683951536,0.0821043546782681
ap_only,2,26,6mo,0.3,0.1,0.12,0.9,0.05,0.232,0.1190402814473108,0.0954621323341366,0.0951297741680663
ap_only,2,26,6mo,0.3,0.1,0.08,0.9,-0.05,0.17,0.0765397076681488,0.0719974128079111,0.0725760327702979
ap_only,2,26,6mo,0.3,0.1,0.1,0.9,-0.05,0.232,0.091122935193891,0.07345349519144,0.0773372664257333
ap_only,2,26,6mo,0.3,0.1,0.05,0.7,0.05,0.069,0.0481070759697818,0.0931727349647528,0.0910289555906656
ap_only,2,26,6mo,0.3,0.1,0.15,0.5,-0.05,0.509,0.1463079175840499,0.0711809548387389,0.0734549972402063
ap_only,2,26,6mo,0.3,0.1,0.12,0.5,-0.05,0.399,0.1249615691318485,0.0714022804823183,0.0719371648541759
ap_only,2,26,6mo,0.3,0.1,0.1,0.7,0.05,0.177,0.099588437679967,0.0936762152867085,0.0931186142783378
ap_only,2,26,6mo,0.3,0.1,0.08,0.9,0.0,0.14,0.0852084955861132,0.090981243281277,0.0909705324749754
ap_only,2,26,6mo,0.3,0.1,0.12,0.5,0.0,0.32,0.1170706008550273,0.0763352898411306,0.0758047970542338
ap_only,2,26,6mo,0.3,0.1,0.05,0.7,-0.05,0.079,0.0424516253011694,0.0805378998949888,0.0808648456522797
ap_only,2,26,6mo,0.3,0.1,0.08,0.5,-0.05,0.179,0.0775946080520786,0.0711568922400657,0.0701380325528401
ap_only,2,26,6mo,0.3,0.1,0.02,0.5,0.05,0.073,0.0230661372924461,0.0786366694093512,0.080220266343154
ap_only,2,26,6mo,0.3,0.1,0.1,0.9,0.05,0.198,0.1062485153539271,0.095246482004383,0.0931558613737112
ap_only,2,26,6mo,0.3,0.1,0.1,0.7,0.0,0.194,0.0990853514181896,0.0891325149427706,0.0911297516050936
ap_only,2,26,6mo,0.3,0.1,0.1,0.5,0.05,0.249,0.102906983864175,0.0798336486356348,0.0817803180308573
ap_only,2,26,6mo,0.3,0.1,0.08,0.5,0.05,0.179,0.0809969674834968,0.079197754350625,0.0811912188469476
ap_only,2,26,6mo,0.3,0.1,0.02,0.9,0.0,0.055,0.0254123236224559,0.0895734370132855,0.0900343500458761
ap_only,2,26,6mo,0.3,0.1,0.12,0.7,0.0,0.273,0.123873252564429,0.0891986052097189,0.0904173958693068
ap_only,2,26,6mo,0.3,0.1,0.1,0.5,-0.05,0.279,0.1011598778835543,0.0707567492832453,0.0692839825543708
ap_only,2,26,6mo,0.3,0.1,0.05,0.5,-0.05,0.105,0.0514246998034645,0.0706130822255932,0.0724788325525811
ap_only,2,26,6mo,0.3,0.1,0.1,0.5,0.0,0.236,0.0999561515363721,0.0760730232737552,0.0764376698178431
ap_only,2,26,6mo,0.3,0.1,0.08,0.7,0.05,0.132,0.0814260327172827,0.0934308090091098,0.0917024347555418
ap_only,2,26,6mo,0.3,0.1,0.02,0.5,0.0,0.065,0.0226073760993908,0.0755651176048775,0.0775659677042999
ap_only,2,26,6mo,0.3,0.1,0.15,0.5,0.05,0.447,0.1497277509190156,0.079811025685981,0.0802640565769468
ap_only,2,26,6mo,0.3,0.1,0.02,0.7,-0.05,0.06,0.0182442957173545,0.0793964804413431,0.0817148426317933
ap_only,2,26,6mo,0.3,0.1,0.05,0.9,0.05,0.071,0.0532457495853819,0.0956986732126722,0.0919213915678816
ap_only,2,26,6mo,0.3,0.1,0.05,0.5,0.0,0.092,0.0466365103164809,0.0755298767678686,0.0767022583635322
ap_only,2,26,6mo,0.3,0.1,0.08,0.7,0.0,0.142,0.0812607401552695,0.0887475130512749,0.0886714408554176
ap_only,2,26,6mo,0.3,0.1,0.05,0.5,0.05,0.082,0.0473291601486748,0.0796272510832365,0.0775481210535245
ap_only,2,26,6mo,0.3,0.1,0.12,0.7,-0.05,0.311,0.1236280547932459,0.0812863086373408,0.0824499066245504
