mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
pooled,3,26,6mo,0.5,0.2,0.3,0.9,-0.05,0.994,0.31827029717064453,0.07186802293075692,0.07163238987643754
pooled,3,26,6mo,0.5,0.2,0.3,0.5,-0.05,0.997,0.30642498712302324,0.05844651673037938,0.05816990981156403
pooled,3,26,6mo,0.5,0.2,0.3,0.7,0.05,0.984,0.2786170261576601,0.06615083582043096,0.06377606908751424
pooled,3,26,6mo,0.5,0.2,0.2,0.9,0.0,0.837,0.20749546183075884,0.07219572951372717,0.07129921917112748
pooled,3,26,6mo,0.5,0.2,0.3,0.9,0.0,0.95,0.2678826901358959,0.07225608102601806,0.07359271361110581
pooled,3,26,6mo,0.5,0.2,0.3,0.9,0.05,0.777,0.19087573026118998,0.06878984537226228,0.06929656273235432
pooled,3,26,6mo,0.5,0.2,0.25,0.9,-0.05,0.963,0.27464236075736315,0.07159796062842119,0.07302190350616979
pooled,3,26,6mo,0.5,0.2,0.25,0.5,0.0,0.993,0.2601254869393945,0.058746011961746614,0.058491534893206326
pooled,3,26,6mo,0.7,0.1,0.02,0.5,-0.05,0.066,0.022520629833320233,0.05953096166844545,0.06266110895353728
pooled,3,26,6mo,0.7,0.1,0.02,0.5,0.05,0.08,0.02361267809741276,0.05310421727595798,0.054248843981438595
pooled,3,26,6mo,0.5,0.2,0.4,0.7,-0.05,1.0,0.38550966539385434,0.06748406376285185,0.06741086502952197
pooled,3,26,6mo,0.5,0.2,0.4,0.9,-0.05,1.0,0.3836586696100341,0.07163734301510351,0.06892194589633792
pooled,3,26,6mo,0.5,0.2,0.25,0.9,0.05,0.712,0.17664158787668957,0.0685370323486739,0.06994272549349323
pooled,3,26,6mo,0.5,0.2,0.2,0.9,0.05,0.609,0.1551072866229597,0.06756038608386444,0.06705652011813303
pooled,3,26,6mo,0.5,0.2,0.4,0.9,0.0,0.989,0.31585782716118976,0.07274349854396706,0.07300044256609085
